trade_year,trade_flow,partner_code,commodities_code,quantity,units,weight_kg,trade_value
2020,Import,392,7116,0.0,N/A,0.0,260149.977
2020,Export,428,7113,61.247,kg,61.247,58968.978
2020,Export,434,7113,0.044,kg,0.044,13773.465
2020,Export,842,7118,21.108,kg,21.108,74792.472
2020,Export,702,7118,5.0,kg,5.0,3720.541
2020,Export,579,7118,2.0,kg,2.0,13912.052
2020,Export,554,7118,0.061,kg,0.061,31.982
2020,Export,528,7118,21.0,kg,21.0,15329.909
2020,Export,410,7118,2.045,kg,2.045,1066.058
2020,Export,392,7118,7.0,kg,7.0,16843.711
2020,Export,380,7118,437.0,kg,437.0,95661.616
2020,Export,364,7118,4.0,kg,4.0,342.205
2020,Export,344,7118,4.0,kg,4.0,18336.191
2020,Export,276,7118,79.718,kg,79.718,64652.132
2020,Export,203,7118,3.667,kg,3.667,1911.441
2020,Export,196,7118,3.273,kg,3.273,1705.692
2020,Export,156,7118,1.0,kg,1.0,1279.269
2020,Export,40,7118,40.001,kg,40.001,19218.887
2020,Export,894,7117,0.056,kg,0.056,31.982
2020,Export,882,7117,0.434,kg,0.434,192.956
2020,Export,862,7117,0.47,kg,0.47,208.947
2020,Export,860,7117,0.28,kg,0.28,124.729
2020,Export,858,7117,2.429,kg,2.429,361.394
2020,Export,854,7117,0.021,kg,0.021,10.661
2020,Export,842,7117,2012.141,kg,2012.141,1980241.51
2020,Export,834,7117,0.127,kg,0.127,69.294
2020,Export,826,7117,16484.8,kg,16484.8,2186614.279
2020,Export,818,7117,15.675,kg,15.675,2819.722
2020,Export,807,7117,386.025,kg,386.025,108881.797
2020,Export,804,7117,29.942,kg,29.942,12136.0
2020,Export,800,7117,9.054,kg,9.054,197.221
2020,Export,792,7117,123.068,kg,123.068,50166.54
2020,Export,788,7117,83.698,kg,83.698,9653.152
2020,Export,784,7117,985.538,kg,985.538,646418.975
2020,Export,768,7117,0.062,kg,0.062,31.982
2020,Export,764,7117,112.31,kg,112.31,49638.842
2020,Export,752,7117,126.743,kg,126.743,118771.614
2020,Export,724,7117,914.871,kg,914.871,381172.107
2020,Export,716,7117,0.026,kg,0.026,15.991
2020,Export,710,7117,29.716,kg,29.716,9950.582
2020,Export,705,7117,462.226,kg,462.226,117888.918
2020,Export,704,7117,6.493,kg,6.493,2241.919
2020,Export,703,7117,22.448,kg,22.448,13474.969
2020,Export,702,7117,493.223,kg,493.223,192596.105
2020,Export,699,7117,58.049,kg,58.049,8124.425
2020,Export,688,7117,118.54,kg,118.54,32672.535
2020,Export,686,7117,3.05,kg,3.05,465.867
2020,Export,682,7117,232.657,kg,232.657,512319.584
2020,Export,674,7117,0.007,kg,0.007,4.264
2020,Export,652,7117,121.808,kg,121.808,54173.851
2020,Export,646,7117,0.047,kg,0.047,26.651
2020,Export,643,7117,366.073,kg,366.073,245157.011
2020,Export,642,7117,145.565,kg,145.565,40861.989
2020,Export,634,7117,429.082,kg,429.082,535905.044
2020,Export,620,7117,2580.944,kg,2580.944,898445.661
2020,Export,616,7117,852.097,kg,852.097,420755.894
2020,Export,608,7117,611.357,kg,611.357,469896.887
2020,Export,604,7117,481.901,kg,481.901,3425.243
2020,Export,600,7117,1.699,kg,1.699,755.835
2020,Export,591,7117,46.685,kg,46.685,32149.1
2020,Export,586,7117,23.678,kg,23.678,15326.711
2020,Export,579,7117,54.309,kg,54.309,44318.148
2020,Export,566,7117,49.065,kg,49.065,3004.15
2020,Export,562,7117,6.035,kg,6.035,1295.26
2020,Export,554,7117,23.255,kg,23.255,3491.339
2020,Export,533,7117,0.47,kg,0.47,208.947
2020,Export,528,7117,751.578,kg,751.578,556398.936
2020,Export,524,7117,5.0,kg,5.0,10.661
2020,Export,516,7117,0.018,kg,0.018,10.661
2020,Export,512,7117,82.356,kg,82.356,58834.655
2020,Export,504,7117,29.852,kg,29.852,13564.517
2020,Export,499,7117,3.967,kg,3.967,1368.818
2020,Export,498,7117,2.321,kg,2.321,1521.264
2020,Export,496,7117,13.454,kg,13.454,3817.552
2020,Export,490,7117,189.152,kg,189.152,271543.004
2020,Export,484,7117,672.715,kg,672.715,225318.745
2020,Export,480,7117,5.065,kg,5.065,3010.547
2020,Export,470,7117,12.59,kg,12.59,4587.246
2020,Export,466,7117,2.018,kg,2.018,2519.094
2020,Export,458,7117,61.974,kg,61.974,25770.877
2020,Export,454,7117,0.026,kg,0.026,15.991
2020,Export,450,7117,0.042,kg,0.042,21.321
2020,Export,446,7117,18.262,kg,18.262,11996.347
2020,Export,442,7117,106.752,kg,106.752,52483.084
2020,Export,440,7117,1.007,kg,1.007,102.342
2020,Export,434,7117,423.935,kg,423.935,39724.506
2020,Export,430,7117,0.009,kg,0.009,5.33
2020,Export,428,7117,17.237,kg,17.237,3854.864
2020,Export,426,7117,0.012,kg,0.012,5.33
2020,Export,422,7117,1460.371,kg,1460.371,20362.767
2020,Export,418,7117,0.209,kg,0.209,92.747
2020,Export,414,7117,139.069,kg,139.069,743545.354
2020,Export,410,7117,283.71,kg,283.71,116362.324
2020,Export,404,7117,8.589,kg,8.589,1614.011
2020,Export,400,7117,189.343,kg,189.343,43384.282
2020,Export,398,7117,150.323,kg,150.323,53294.354
2020,Export,392,7117,690.07,kg,690.07,798880.142
2020,Export,388,7117,0.288,kg,0.288,127.927
2020,Export,384,7117,273.199,kg,273.199,54743.126
2020,Export,380,7117,6594.504,kg,6594.504,5229789.88
2020,Export,376,7117,77.041,kg,77.041,38149.939
2020,Export,372,7117,95.91,kg,95.91,27489.362
2020,Export,368,7117,1.611,kg,1.611,1745.136
2020,Export,364,7117,13.032,kg,13.032,91508.256
