reporter_code,trade_year,trade_flow,partner_code,commodities_code,trade_value
24,2020,Import,0,7108,2957.547
36,2020,Export,0,7108,17517010781.862
56,2020,Export,0,7108,1545175481.156
72,2020,Import,0,7108,136.614
76,2020,Import,0,7108,4183262.0
76,2020,Export,0,7108,4903472709.0
120,2020,Import,0,7108,3054.09
136,2020,Export,0,7108,36330.151
214,2020,Import,0,7108,96487768.68
222,2020,Export,0,7108,56539.91
233,2020,Import,0,7108,127050327.1
246,2020,Export,0,7108,72268013.326
348,2020,Export,0,7108,100454734.0
360,2020,Import,0,7108,1901737717.0
372,2020,Import,0,7108,44201789.321
380,2020,Export,0,7108,6705588636.71
398,2020,Import,0,7108,390611961.43
398,2020,Export,0,7108,6513615.48
404,2020,Export,0,7108,9719029.228
410,2020,Import,0,7108,908445465.0
410,2020,Export,0,7108,1710140052.0
446,2020,Export,0,7108,3226742.603
516,2020,Import,0,7108,2116.597
533,2020,Import,0,7108,10763.128
562,2020,Import,0,7108,6462.979
579,2020,Import,0,7108,7169635.905
608,2020,Import,0,7108,88737303.0
620,2020,Import,0,7108,51177953.559
626,2020,Import,0,7108,23.0
634,2020,Export,0,7108,41015958.458
646,2020,Import,0,7108,677487311.47
682,2020,Import,0,7108,1165908292.719
703,2020,Import,0,7108,80100634.96
764,2020,Import,0,7108,5044697855.545
764,2020,Export,0,7108,13339920810.617
894,2020,Export,0,7108,69627676.948
24,2021,Import,0,7108,6773.219
31,2021,Import,0,7108,91957315.15
44,2021,Import,0,7108,16930.0
56,2021,Export,0,7108,1191986496.52
70,2021,Import,0,7108,391531.64
72,2021,Import,0,7108,2024.482
76,2021,Import,0,7108,4867535.0
140,2021,Export,0,7108,26117952.098
188,2021,Import,0,7108,1182606.17
203,2021,Import,0,7108,495287422.0
203,2021,Export,0,7108,55630612.0
204,2021,Export,0,7108,15481736.688
218,2021,Import,0,7108,12921.741
222,2021,Export,0,7108,90949.5
231,2021,Import,0,7108,2.13
251,2021,Export,0,7108,1631159207.939
270,2021,Import,0,7108,839.72
288,2021,Import,0,7108,1256.517
328,2021,Import,0,7108,116.043
348,2021,Export,0,7108,57865289.0
360,2021,Import,0,7108,2681663331.0
380,2021,Import,0,7108,7494949329.75
380,2021,Export,0,7108,4239262738.674
398,2021,Import,0,7108,366484630.6
398,2021,Export,0,7108,35557609.67
410,2021,Import,0,7108,2569351911.0
410,2021,Export,0,7108,695491655.0
442,2021,Import,0,7108,77644290.097
442,2021,Export,0,7108,53907258.502
466,2021,Import,0,7108,1506084.419
478,2021,Export,0,7108,323937479.2
504,2021,Import,0,7108,16890331.192
508,2021,Export,0,7108,995616.4
516,2021,Import,0,7108,11537.726
528,2021,Import,0,7108,537092688.267
528,2021,Export,0,7108,300011153.615
562,2021,Import,0,7108,10455.649
566,2021,Import,0,7108,887.398
566,2021,Export,0,7108,8290482.56
598,2021,Import,0,7108,29857.154
608,2021,Import,0,7108,93694288.0
608,2021,Export,0,7108,954698456.0
626,2021,Import,0,7108,2.3
634,2021,Export,0,7108,2914604.832
690,2021,Import,0,7108,268.898
702,2021,Export,0,7108,15017757921.12
703,2021,Import,0,7108,51487312.561
710,2021,Export,0,7108,7307599435.204
740,2021,Export,0,7108,1855905387.14
748,2021,Import,0,7108,8.57
752,2021,Import,0,7108,69504733.758
757,2021,Import,0,7108,92691613993.807
764,2021,Import,0,7108,8493338823.923
764,2021,Export,0,7108,3884115060.396
768,2021,Import,0,7108,4015806.889
784,2021,Export,0,7108,33786922894.627
826,2021,Import,0,7108,53720881150.767
24,2022,Import,0,7108,711.33
24,2022,Export,0,7108,5735824.587
28,2022,Import,0,7108,24603.696
36,2022,Export,0,7108,16305297662.56
44,2022,Import,0,7108,87032.0
56,2022,Import,0,7108,700247242.81
56,2022,Export,0,7108,1230529762.268
70,2022,Import,0,7108,1643073.4
72,2022,Import,0,7108,75609.896
72,2022,Export,0,7108,25589524.434
76,2022,Import,0,7108,4121504.0
76,2022,Export,0,7108,4907612561.0
96,2022,Import,0,7108,3684972.201
144,2022,Export,0,7108,420.905
152,2022,Import,0,7108,129499.54
180,2022,Export,0,7108,2663727.133
203,2022,Import,0,7108,541791818.0
203,2022,Export,0,7108,91869715.0
208,2022,Export,0,7108,24831195.76
222,2022,Export,0,7108,54731.72
231,2022,Import,0,7108,4192.951
246,2022,Import,0,7108,109427552.599
251,2022,Import,0,7108,1972672062.283
251,2022,Export,0,7108,1926499469.701
288,2022,Import,0,7108,3552.111
308,2022,Import,0,7108,18488.889
352,2022,Import,0,7108,683213.371
360,2022,Import,0,7108,3519419267.0
360,2022,Export,0,7108,1027513951.913
372,2022,Import,0,7108,28243690.939
384,2022,Import,0,7108,1191.107
398,2022,Export,0,7108,83941078.21
410,2022,Export,0,7108,1299818619.0
417,2022,Import,0,7108,25748368.0
478,2022,Import,0,7108,31292.287
504,2022,Export,0,7108,27518404.151
516,2022,Import,0,7108,10701.015
554,2022,Import,0,7108,100734576.276
566,2022,Import,0,7108,204010.589
579,2022,Import,0,7108,3346600.624
598,2022,Import,0,7108,3427.541
598,2022,Export,0,7108,221250904.423
604,2022,Import,0,7108,60458.802
620,2022,Import,0,7108,78216550.791
626,2022,Import,0,7108,113.06
634,2022,Import,0,7108,402170659.413
634,2022,Export,0,7108,2689233.149
646,2022,Import,0,7108,509974825.03
646,2022,Export,0,7108,555741326.21
678,2022,Import,0,7108,1637.041
682,2022,Import,0,7108,5625991171.617
690,2022,Import,0,7108,66519.361
702,2022,Import,0,7108,17718787569.89
705,2022,Import,0,7108,331610618.411
710,2022,Export,0,7108,5264910501.442
724,2022,Import,0,7108,837528903.773
724,2022,Export,0,7108,2568696177.747
740,2022,Export,0,7108,2136298470.4
748,2022,Import,0,7108,192.1
752,2022,Import,0,7108,82088031.131
764,2022,Import,0,7108,11222861790.458
764,2022,Export,0,7108,7076025865.18
768,2022,Import,0,7108,4521903.317
784,2022,Export,0,7108,35626328590.164
834,2022,Export,0,7108,2835094318.32
858,2022,Import,0,7108,843.95
882,2022,Import,0,7108,4523.663
28,2023,Import,0,7108,5320.122
52,2023,Import,0,7108,3130.5
56,2023,Import,0,7108,380935178.146
56,2023,Export,0,7108,994070970.845
70,2023,Import,0,7108,518856.787
72,2023,Import,0,7108,3707649.621
76,2023,Import,0,7108,4670611.0
76,2023,Export,0,7108,3486260220.0
96,2023,Import,0,7108,2548820.608
100,2023,Import,0,7108,25631263.717
104,2023,Import,0,7108,0.75
120,2023,Import,0,7108,387.647
120,2023,Export,0,7108,674905.65
140,2023,Export,0,7108,72350644.266
144,2023,Export,0,7108,1961.384
152,2023,Export,0,7108,1009359447.813
