refYear,flowDesc,partnerCode,partnerISO,cmdCode,motCode,motDesc,primaryValue
2024,Export,702,SGP,8,3200,Road,121863.952
2024,Export,702,SGP,9,3200,Road,22885968.228
2024,Export,702,SGP,11,3200,Road,304.393
2024,Export,702,SGP,13,3200,Road,3408462.985
2024,Export,702,SGP,17,3200,Road,1262865.095
2024,Export,702,SGP,18,3200,Road,2709413.174
2024,Export,702,SGP,19,3200,Road,3034240.225
2024,Export,702,SGP,20,3200,Road,151956.832
2024,Export,702,SGP,21,3200,Road,20180529.2
2024,Export,702,SGP,22,3200,Road,1241859.709
2024,Export,702,SGP,23,3200,Road,17011.932
2024,Export,702,SGP,24,3200,Road,130953.717
2024,Export,702,SGP,25,3200,Road,65579.648
2024,Export,702,SGP,28,3200,Road,862274.862
2024,Export,702,SGP,30,3200,Road,6634381.052
2024,Export,702,SGP,36,3200,Road,1624652.04
2024,Export,702,SGP,43,3200,Road,24784.175
2024,Export,702,SGP,51,3200,Road,60.197
2024,Export,702,SGP,55,3200,Road,13540.944
2024,Export,702,SGP,66,3200,Road,2407.885
2024,Export,702,SGP,88,3200,Road,738124.555
2024,Export,702,SGP,92,3200,Road,35290.276
2024,Export,702,SGP,93,3200,Road,219291.282
2024,Export,703,SVK,1,3200,Road,9784.871
2024,Export,703,SVK,4,3200,Road,46602.791
2024,Export,703,SVK,5,3200,Road,5447.271
2024,Export,703,SVK,9,3200,Road,307706.082
2024,Export,703,SVK,13,3200,Road,43818.958
2024,Export,703,SVK,14,3200,Road,5477.938
2024,Export,703,SVK,16,3200,Road,1267.547
2024,Export,703,SVK,17,3200,Road,2639935.479
2024,Export,703,SVK,19,3200,Road,361276.973
2024,Export,703,SVK,20,3200,Road,82424.618
2024,Export,703,SVK,21,3200,Road,1413331.764
2024,Export,703,SVK,22,3200,Road,3614033.868
2024,Export,703,SVK,23,3200,Road,16087.396
2024,Export,703,SVK,24,3200,Road,74384.328
2024,Export,703,SVK,25,3200,Road,27811.068
2024,Export,703,SVK,28,3200,Road,10324.373
2024,Export,703,SVK,33,3200,Road,15617758.102
2024,Export,703,SVK,35,3200,Road,2463400.051
2024,Export,703,SVK,41,3200,Road,511.108
2024,Export,703,SVK,43,3200,Road,1588.977
2024,Export,703,SVK,45,3200,Road,2329.515
2024,Export,703,SVK,46,3200,Road,684.884
2024,Export,703,SVK,51,3200,Road,11.358
2024,Export,703,SVK,52,3200,Road,965599.238
2024,Export,703,SVK,53,3200,Road,12149.595
2024,Export,703,SVK,54,3200,Road,1786904.85
2024,Export,703,SVK,55,3200,Road,58583.153
2024,Export,703,SVK,57,3200,Road,23411.0
2024,Export,703,SVK,60,3200,Road,1155958.423
2024,Export,703,SVK,63,3200,Road,3040714.254
2024,Export,703,SVK,65,3200,Road,136358.964
2024,Export,703,SVK,66,3200,Road,35970.617
2024,Export,703,SVK,75,3200,Road,95729.317
2024,Export,703,SVK,81,3200,Road,69602.633
2024,Export,703,SVK,86,3200,Road,328748.95
2024,Export,703,SVK,88,3200,Road,4234.242
2024,Export,703,SVK,89,3200,Road,6255.957
2024,Export,703,SVK,92,3200,Road,13437.587
2024,Export,704,VNM,9,3200,Road,1373468.779
2024,Export,704,VNM,12,3200,Road,3.407
2024,Export,704,VNM,13,3200,Road,52588.429
2024,Export,704,VNM,15,3200,Road,143.11
2024,Export,704,VNM,17,3200,Road,147766.885
2024,Export,704,VNM,19,3200,Road,12021377.89
2024,Export,704,VNM,21,3200,Road,4768095.513
2024,Export,704,VNM,23,3200,Road,32612.072
2024,Export,704,VNM,24,3200,Road,136.295
2024,Export,704,VNM,28,3200,Road,82066.843
2024,Export,704,VNM,29,3200,Road,1128502.858
2024,Export,704,VNM,30,3200,Road,39124225.718
2024,Export,704,VNM,38,3200,Road,1983073.625
2024,Export,704,VNM,41,3200,Road,29414.81
2024,Export,704,VNM,44,3200,Road,276205.953
2024,Export,704,VNM,51,3200,Road,29.531
2024,Export,704,VNM,60,3200,Road,161017.066
2024,Export,704,VNM,63,3200,Road,2466.946
2024,Export,704,VNM,66,3200,Road,9156.777
2024,Export,704,VNM,72,3200,Road,5574.48
2024,Export,704,VNM,79,3200,Road,1090.363
2024,Export,704,VNM,87,3200,Road,176620.613
2024,Export,704,VNM,88,3200,Road,224953.219
2024,Export,704,VNM,93,3200,Road,12951.467
2024,Export,704,VNM,94,3200,Road,117762.598
2024,Export,705,SVN,1,3200,Road,6886.323
2024,Export,705,SVN,2,3200,Road,50562.171
2024,Export,705,SVN,4,3200,Road,7889.23
2024,Export,705,SVN,5,3200,Road,2831.536
2024,Export,705,SVN,6,3200,Road,9086.357
2024,Export,705,SVN,11,3200,Road,13.63
2024,Export,705,SVN,12,3200,Road,2646766.148
2024,Export,705,SVN,13,3200,Road,150931.209
2024,Export,705,SVN,15,3200,Road,34955.216
2024,Export,705,SVN,16,3200,Road,7802.909
2024,Export,705,SVN,17,3200,Road,255626.489
2024,Export,705,SVN,18,3200,Road,1308472.93
2024,Export,705,SVN,19,3200,Road,44574.261
2024,Export,705,SVN,20,3200,Road,182166.698
2024,Export,705,SVN,23,3200,Road,1119.894
2024,Export,705,SVN,25,3200,Road,470162.2
2024,Export,705,SVN,26,3200,Road,15.901
2024,Export,705,SVN,28,3200,Road,1340627.276
2024,Export,705,SVN,44,3200,Road,281811.099
2024,Export,705,SVN,52,3200,Road,10607.186
2024,Export,705,SVN,55,3200,Road,1248.238
2024,Export,705,SVN,57,3200,Road,34283.962
2024,Export,705,SVN,60,3200,Road,21414.273
2024,Export,705,SVN,64,3200,Road,2979996.943
2024,Export,705,SVN,66,3200,Road,29656.734
2024,Export,705,SVN,67,3200,Road,6941.977
2024,Export,705,SVN,72,3200,Road,2698484.558
2024,Export,705,SVN,78,3200,Road,95513.516
2024,Export,705,SVN,79,3200,Road,881.377
2024,Export,705,SVN,86,3200,Road,139368.82
2024,Export,705,SVN,89,3200,Road,7587.108
2024,Export,706,SOM,32,3200,Road,3184.768
2024,Export,706,SOM,84,3200,Road,17040.327
2024,Export,706,SOM,94,3200,Road,2532.822
2024,Export,710,ZAF,4,3200,Road,1251502.605
2024,Export,710,ZAF,7,3200,Road,1800.235
2024,Export,710,ZAF,8,3200,Road,264732.155
2024,Export,710,ZAF,9,3200,Road,9537723.214
2024,Export,710,ZAF,14,3200,Road,4402.34
2024,Export,710,ZAF,15,3200,Road,616382.132
2024,Export,710,ZAF,17,3200,Road,220406.633
2024,Export,710,ZAF,18,3200,Road,2253489.296
2024,Export,710,ZAF,19,3200,Road,104711.181
2024,Export,710,ZAF,20,3200,Road,48031.62
2024,Export,710,ZAF,21,3200,Road,8101561.977
2024,Export,710,ZAF,22,3200,Road,33249732.182
2024,Export,710,ZAF,23,3200,Road,1374451.241
2024,Export,710,ZAF,24,3200,Road,59857888.053
2024,Export,710,ZAF,25,3200,Road,113.579
2024,Export,710,ZAF,28,3200,Road,104039.927
2024,Export,710,ZAF,30,3200,Road,20640736.159
2024,Export,710,ZAF,33,3200,Road,10732673.467
2024,Export,710,ZAF,34,3200,Road,809269.596
2024,Export,710,ZAF,35,3200,Road,2052905.688
2024,Export,710,ZAF,43,3200,Road,7567.8
2024,Export,710,ZAF,44,3200,Road,504640.382
2024,Export,710,ZAF,52,3200,Road,1687.791
2024,Export,710,ZAF,55,3200,Road,417.972
2024,Export,710,ZAF,57,3200,Road,1228.93
2024,Export,710,ZAF,64,3200,Road,550310.685
2024,Export,710,ZAF,72,3200,Road,960908.406
2024,Export,710,ZAF,75,3200,Road,142739.858
2024,Export,710,ZAF,87,3200,Road,4758343.58
2024,Export,710,ZAF,88,3200,Road,82100.917
2024,Export,710,ZAF,92,3200,Road,2635.044
2024,Export,710,ZAF,93,3200,Road,855471.452
2024,Export,710,ZAF,95,3200,Road,64902.714
2024,Export,716,ZWE,17,3200,Road,12419.915
2024,Export,716,ZWE,18,3200,Road,84503.123
2024,Export,716,ZWE,29,3200,Road,26157.351
2024,Export,716,ZWE,30,3200,Road,13694.276
2024,Export,716,ZWE,32,3200,Road,382651.493
2024,Export,716,ZWE,34,3200,Road,623.551
2024,Export,716,ZWE,38,3200,Road,4085.453
2024,Export,716,ZWE,42,3200,Road,148.789
2024,Export,716,ZWE,63,3200,Road,186.27
2024,Export,716,ZWE,68,3200,Road,11036.517
2024,Export,716,ZWE,93,3200,Road,8240.19
2024,Export,716,ZWE,94,3200,Road,1713.914
2024,Export,716,ZWE,96,3200,Road,365.726
2024,Export,724,ESP,2,3200,Road,130581.176
2024,Export,724,ESP,4,3200,Road,9511554.505
2024,Export,724,ESP,7,3200,Road,351377.387
2024,Export,724,ESP,8,3200,Road,1921005.854
2024,Export,724,ESP,10,3200,Road,2133.022
2024,Export,724,ESP,11,3200,Road,1364937.825
2024,Export,724,ESP,12,3200,Road,1457004.205
2024,Export,724,ESP,15,3200,Road,1353996.715
2024,Export,724,ESP,16,3200,Road,13852.152
2024,Export,724,ESP,23,3200,Road,14642851.027
2024,Export,724,ESP,24,3200,Road,398042.646
2024,Export,724,ESP,26,3200,Road,474204.493
2024,Export,724,ESP,43,3200,Road,71105.289
2024,Export,724,ESP,47,3200,Road,143561.038
2024,Export,724,ESP,51,3200,Road,7512.146
2024,Export,724,ESP,53,3200,Road,20860.005
2024,Export,724,ESP,67,3200,Road,15719.398
2024,Export,724,ESP,86,3200,Road,38154564.879
2024,Export,724,ESP,89,3200,Road,92373.044
2024,Export,724,ESP,92,3200,Road,83880.707
2024,Export,724,ESP,93,3200,Road,6665855.058
2024,Export,56,BEL,2,3200,Road,48446.185
2024,Export,56,BEL,3,3200,Road,6474.03
2024,Export,56,BEL,4,3200,Road,12321360.569
2024,Export,56,BEL,5,3200,Road,66639.344
2024,Export,56,BEL,7,3200,Road,163119.422
2024,Export,56,BEL,10,3200,Road,45248.923
2024,Export,56,BEL,11,3200,Road,99493.341
2024,Export,56,BEL,14,3200,Road,1916.086
2024,Export,56,BEL,16,3200,Road,8177.722
2024,Export,56,BEL,20,3200,Road,961317.292
2024,Export,56,BEL,23,3200,Road,2635868.198
2024,Export,56,BEL,24,3200,Road,7293489.508
2024,Export,56,BEL,26,3200,Road,6187575.334
2024,Export,56,BEL,36,3200,Road,3820387.313
2024,Export,56,BEL,45,3200,Road,34260.11
2024,Export,56,BEL,51,3200,Road,568123.353
2024,Export,56,BEL,53,3200,Road,44992.234
2024,Export,56,BEL,86,3200,Road,981920.607
2024,Export,56,BEL,89,3200,Road,209087.303
2024,Export,60,BMU,21,3200,Road,44275.547
2024,Export,60,BMU,30,3200,Road,318079.295
2024,Export,60,BMU,39,3200,Road,497.478
2024,Export,60,BMU,44,3200,Road,17608.225
2024,Export,60,BMU,70,3200,Road,4580.66
2024,Export,60,BMU,71,3200,Road,14813.034
2024,Export,60,BMU,83,3200,Road,579.255
2024,Export,60,BMU,85,3200,Road,7002.174
2024,Export,60,BMU,95,3200,Road,1542.409
2024,Export,60,BMU,96,3200,Road,985.87
2024,Export,64,BTN,32,3200,Road,1147.153
2024,Export,64,BTN,40,3200,Road,139.703
2024,Export,64,BTN,68,3200,Road,5465.444
2024,Export,64,BTN,84,3200,Road,22335.402
2024,Export,64,BTN,96,3200,Road,67.012
2024,Export,64,BTN,97,3200,Road,9293.072
2024,Export,68,BOL,17,3200,Road,1203.942
2024,Export,68,BOL,18,3200,Road,26846.778
2024,Export,68,BOL,19,3200,Road,481.577
2024,Export,68,BOL,21,3200,Road,734321.914
2024,Export,68,BOL,22,3200,Road,6229.834
2024,Export,68,BOL,27,3200,Road,37011.005
2024,Export,68,BOL,30,3200,Road,424347.65
2024,Export,68,BOL,33,3200,Road,109735.937
2024,Export,68,BOL,34,3200,Road,18094.345
2024,Export,68,BOL,44,3200,Road,182730.052
2024,Export,68,BOL,48,3200,Road,874.562
2024,Export,68,BOL,60,3200,Road,202.171
2024,Export,68,BOL,62,3200,Road,4713.548
2024,Export,68,BOL,63,3200,Road,1152.832
2024,Export,68,BOL,68,3200,Road,4052.515
2024,Export,68,BOL,70,3200,Road,6518.326
2024,Export,68,BOL,71,3200,Road,8354.906
2024,Export,68,BOL,76,3200,Road,14196.297
2024,Export,68,BOL,83,3200,Road,772.34
2024,Export,68,BOL,88,3200,Road,44878.654
2024,Export,68,BOL,92,3200,Road,9683.785
2024,Export,68,BOL,94,3200,Road,1389.077
2024,Export,70,BIH,4,3200,Road,211690.545
2024,Export,70,BIH,8,3200,Road,9086.357
2024,Export,70,BIH,12,3200,Road,7471.257
2024,Export,70,BIH,17,3200,Road,696.242
2024,Export,70,BIH,29,3200,Road,406629.254
2024,Export,70,BIH,30,3200,Road,93119774.374
2024,Export,70,BIH,32,3200,Road,420371.233
2024,Export,70,BIH,33,3200,Road,2163232.238
