trade_year,trade_flow,partner_code,commodities_code,quantity,units,weight_kg,trade_value
2020,Import,616,710811,0.0,N/A,0.0,19881.786
2020,Import,56,710812,0.0,N/A,0.0,387031361.772
2020,Import,251,710812,0.0,N/A,0.0,2799032236.729
2020,Import,276,710812,0.0,N/A,0.0,3185514128.927
2020,Import,380,710812,0.0,N/A,0.0,4729179488.027
2020,Import,784,710812,0.0,N/A,0.0,8003378761.611
2020,Import,842,710812,0.0,N/A,0.0,6597058176.334
2020,Import,251,710813,0.0,N/A,0.0,3532314.309
2020,Import,276,710813,0.0,N/A,0.0,64460560.026
2020,Import,380,710813,0.0,N/A,0.0,323635135.691
2020,Import,392,710813,0.0,N/A,0.0,56530.932
2020,Import,458,710813,0.0,N/A,0.0,73917.766
2020,Import,702,710813,0.0,N/A,0.0,1173467.859
2020,Import,826,710813,0.0,N/A,0.0,1933398.406
2020,Import,842,710813,0.0,N/A,0.0,4283383.51
2021,Import,392,710813,0.0,N/A,0.0,85938.092
2021,Import,528,710813,0.0,N/A,0.0,3512.232
2022,Import,156,710813,0.0,N/A,,123.568
2024,Import,792,710813,0.0,N/A,,86655.454
2024,Export,528,710813,0.0,N/A,,211.258
2023,Export,410,710812,0.0,N/A,,12571755.85
2023,Export,842,710812,0.0,N/A,,3898682365.633
2024,Import,620,710811,0.0,N/A,,406.614
2020,Import,251,710811,0.053,kg,0.053,1489.508
2020,Import,276,710811,14.155,kg,14.155,399487.744
2020,Import,380,710811,0.331,kg,0.331,9368.867
2020,Import,392,710811,3.268,kg,3.268,38039.496
2020,Import,528,710811,0.009,kg,0.009,248.429
2020,Import,752,710811,0.462,kg,0.462,13105.964
2020,Import,826,710811,0.565,kg,0.565,16014.61
2020,Import,842,710811,0.921,kg,0.921,26094.644
2020,Import,36,710812,44170.015,kg,44170.015,1647349078.149
2020,Import,40,710812,570.149,kg,570.149,31316551.104
2020,Import,124,710812,22216.408,kg,22216.408,1022489141.902
2020,Import,156,710812,7774.003,kg,7774.003,456910887.207
2020,Import,392,710812,20839.011,kg,20839.011,1222448705.623
2020,Import,826,710812,189268.013,kg,189268.013,10613582717.473
2020,Import,32,710813,10.729,kg,10.729,575202.771
2020,Import,36,710813,0.148,kg,0.148,6035.866
2020,Import,40,710813,304.022,kg,304.022,14016607.998
2020,Import,56,710813,1.046,kg,1.046,7531.771
2020,Import,124,710813,1.895,kg,1.895,38584.334
2020,Import,156,710813,1.001,kg,1.001,4424.809
2020,Import,246,710813,0.106,kg,0.106,4339.511
2020,Import,344,710813,0.003,kg,0.003,102.357
2020,Import,372,710813,1.015,kg,1.015,36675.802
2020,Import,480,710813,0.467,kg,0.467,19090.652
2020,Import,484,710813,0.002,kg,0.002,83.165
2020,Import,528,710813,1.109,kg,1.109,4805.449
2020,Import,616,710813,0.001,kg,0.001,25.589
2020,Import,620,710813,104.188,kg,104.188,5863058.425
